Title,Genre,Actors,Director,Award,Production,imdbRating,imdbVotes,Released,tomatoUserReviews,tomatoUserRating,tomatoUserMeter,BoxOffice,Rated,Metascore,Wikistats
The Bank Job,Crime- Drama- Thriller,Jason Statham- Saffron Burrows- Stephen Campbell Moore- Daniel Mays,Roger Donaldson,2 nominations.,Lionsgate,7.3,134818,7-Mar-08,252911,3.5,74,30,R,69,95432
Coraline,Animation- Fantasy- Mystery,Dakota Fanning- Teri Hatcher- Jennifer Saunders- Dawn French,Henry Selick,Nominated for 1 Oscar. Another 9 wins & 34 nominations.,Focus Features,7.7,118530,6-Feb-09,380047,3.7,73,75.2,PG,80,270607
On the Road,Adventure- Drama,Sam Riley- Garrett Hedlund- Kristen Stewart- Amy Adams,Walter Salles,2 wins & 4 nominations.,IFC Films/Sundance Selects,6.1,26922,23-May-12,10296,2.8,34,0.7,R,56,6550
The Secret Life of Walter Mitty,Adventure- Comedy- Drama,Ben Stiller- Kristen Wiig- Jon Daly- Kathryn Hahn,Ben Stiller,6 wins & 12 nominations.,20th Century Fox,7.4,162410,25-Dec-13,74966,3.7,71,58.2,PG,54,11626
The Box,Drama- Mystery- Sci-Fi,Cameron Diaz- James Marsden- Frank Langella- James Rebhorn,Richard Kelly,6 nominations.,Warner Bros. Pictures,5.6,67612,6-Nov-09,358503,2.4,23,114.9,PG-13,47,13242
Whiteout,Action- Crime- Mystery,Kate Beckinsale- Gabriel Macht- Tom Skerritt- Columbus Short,Dominic Sena,N/A,Warner Bros. Pictures,5.5,28206,11-Sep-09,538636,2.3,21,10.2,R,N/A,110194
Indiana Jones and the Kingdom of the Crystal Skull,Action- Adventure,Harrison Ford- Cate Blanchett- Karen Allen- Shia LaBeouf,Steven Spielberg,Nominated for 1 BAFTA Film Award. Another 7 wins & 30 nominations.,Paramount Pictures,6.3,269458,22-May-08,1316637,3.3,54,317,PG-13,65,107540
Possession,Romance- Drama- Mystery,Gwyneth Paltrow- Aaron Eckhart- Jeremy Northam- Jennifer Ehle,Neil LaBute,1 nomination.,USA Films,6.4,10841,30-Aug-02,8146,3.3,58,10.1,PG-13,52,0
Four Christmases,Comedy- Drama- Romance,Vince Vaughn- Reese Witherspoon- Robert Duvall- Sissy Spacek,Seth Gordon,1 win & 1 nomination.,New Line Cinema,5.6,40419,26-Nov-08,253738,3.2,48,120.1,PG-13,41,6039
Iron Man,Action- Adventure- Sci-Fi,Robert Downey Jr.- Terrence Howard- Jeff Bridges- Gwyneth Paltrow,Jon Favreau,Nominated for 2 Oscars. Another 17 wins & 50 nominations.,Paramount Pictures,7.9,517206,2-May-08,1067526,4.2,91,318.3,PG-13,79,155140
Journey to the Center of the Earth,Action- Adventure- Family,Brendan Fraser- Josh Hutcherson- Anita Briem- Seth Meyers,Eric Brevig,1 win & 3 nominations.,Warner Bros. Pictures,5.8,65992,11-Jul-08,255265,3.2,52,101.7,PG,57,17964
Che: Part Two,Biography- Drama- History,Demian Bichir- Rodrigo Santoro- Benicio Del Toro- Catalina Sandino Moreno,Steven Soderbergh,3 wins & 5 nominations.,IFC Films,6.9,24351,24-Jan-09,9396,3.6,66,2,Not Rated,64,49690
Astro Boy,Animation- Action- Family,Charlize Theron- Freddie Highmore- Ryan Stiles- Eugene Levy,David Bowers,4 nominations.,Summit Entertainment,6.4,21443,23-Oct-09,147910,3.3,50,19.5,PG,53,2967
The Rum Diary,Comedy- Drama,Johnny Depp- Aaron Eckhart- Michael Rispoli- Amber Heard,Bruce Robinson,2 wins & 4 nominations.,The Film District,6.2,74590,28-Oct-11,43680,2.9,36,13.1,R,56,31397
Gnomeo & Juliet,Animation- Comedy- Family,James McAvoy- Emily Blunt- Ashley Jensen- Michael Caine,Kelly Asbury,Nominated for 1 Golden Globe. Another 1 win & 8 nominations.,Touchstone Pictures,6,36253,11-Feb-11,103821,3.4,55,99.8,G,53,32
Leatherheads,Comedy- Drama- Romance,John Krasinski- David de Vries- Rick Forrester- Craig S. Harper,George Clooney,2 nominations.,Universal Pictures,6,25544,4-Apr-08,156519,3,38,31.2,PG-13,56,73666
The Lovely Bones,Drama,Mark Wahlberg- Rachel Weisz- Susan Sarandon- Stanley Tucci,Peter Jackson,Nominated for 1 Oscar. Another 12 wins & 33 nominations.,Paramount Pictures,6.7,106374,15-Jan-10,371668,3.2,52,44,PG-13,42,14713
The Three Stooges,Comedy,Sean Hayes- Will Sasso- Chris Diamantopoulos- Jane Lynch,Bobby Farrelly- Peter Farrelly,3 nominations.,20th Century Fox,5.1,22504,13-Apr-12,140034,3.2,48,44.3,PG,56,12974
"Synecdoche, New York",Drama,Philip Seymour Hoffman- Catherine Keener- Sadie Goldstein- Tom Noonan,Charlie Kaufman,9 wins & 18 nominations.,Sydney Kimmel Entertainment,7.4,42405,5-Feb-09,55363,3.6,70,3,R,67,49174
Where the Wild Things Are,Adventure- Drama- Family,Max Records- Pepita Emmerichs- Max Pfeifer- Madeleine Greaves,Spike Jonze,Nominated for 1 Golden Globe. Another 8 wins & 34 nominations.,Warner Bros. Pictures,6.8,77840,16-Oct-09,297111,3.3,57,77.2,PG,71,5863
Bolt,Animation- Adventure- Comedy,John Travolta- Miley Cyrus- Susie Essman- Mark Walton,Byron Howard- Chris Williams,Nominated for 1 Oscar. Another 1 win & 22 nominations.,Walt Disney Pictures,7,117012,21-Nov-08,313120,3.6,74,114.1,PG,67,62536
Tangled,Animation- Comedy- Family,Mandy Moore- Zachary Levi- Donna Murphy- Ron Perlman,Nathan Greno- Byron Howard,Nominated for 1 Oscar. Another 6 wins & 34 nominations.,Walt Disney Pictures,7.9,199331,24-Nov-10,145700,4.1,87,200.8,PG,71,186688
John Carter,Action- Adventure- Fantasy,Taylor Kitsch- Lynn Collins- Samantha Morton- Willem Dafoe,Andrew Stanton,3 wins & 6 nominations.,Walt Disney Pictures,6.6,178817,9-Mar-12,112497,3.5,60,73.1,PG-13,51,18135
Youth in Revolt,Comedy- Drama- Romance,Michael Cera- Portia Doubleday- Jean Smart- Zach Galifianakis,Miguel Arteta,1 win & 1 nomination.,The Weinstein Company,6.5,57137,8-Jan-10,114087,3.2,52,15.2,R,63,18694
The Eye,Drama- Horror- Thriller,Jessica Alba- Alessandro Nivola- Parker Posey- Rade Serbedzija,David Moreau- Xavier Palud,2 wins & 3 nominations.,Lionsgate Films,5.4,38972,1-Feb-08,303068,3,44,31.4,PG-13,36,79767
In Secret,Crime- Drama- Thriller,Elizabeth Olsen- Oscar Isaac- Tom Felton- Jessica Lange,Charlie Stratton,1 nomination.,Roadside Attractions,6.2,1811,3-Apr-14,5009,3,39,0.4,R,47,11983
Watchmen,Action- Mystery- Sci-Fi,Malin Akerman- Billy Crudup- Matthew Goode- Jackie Earle Haley,Zack Snyder,7 wins & 12 nominations.,Warner Bros. Pictures,7.6,319996,6-Mar-09,1051560,3.4,70,107.5,R,56,3063610
Hell Ride,Action- Adventure- Drama,Julia Jones- Larry Bishop- Leonor Varela- Austin Galuppo,Larry Bishop,N/A,Dimension Films,5.1,13257,17-Jan-09,5437,2.7,30,0.2,R,25,85420
Hellboy II: The Golden Army,Action- Adventure- Fantasy,Ron Perlman- Selma Blair- Doug Jones- John Alexander,Guillermo del Toro,Nominated for 1 Oscar. Another 7 wins & 16 nominations.,Universal Pictures,7.1,181427,11-Jul-08,820323,3.5,70,75.8,PG-13,78,329822
The Secret Life of Bees,Drama,Dakota Fanning- Queen Latifah- Jennifer Hudson- Alicia Keys,Gina Prince-Bythewood,11 wins & 16 nominations.,Fox Searchlight,7.3,16521,17-Oct-08,111341,3.7,78,37.7,PG-13,57,32814
The Spiderwick Chronicles,Adventure- Family- Fantasy,Freddie Highmore- Mary-Louise Parker- Nick Nolte- Sarah Bolger,Mark Waters,2 wins & 7 nominations.,Paramount Pictures,6.6,57967,14-Feb-08,354192,3.4,63,71.1,PG,62,79767
Harry Potter and the Half-Blood Prince,Adventure- Family- Fantasy,Daniel Radcliffe- Michael Gambon- Dave Legeno- Elarica Gallacher,David Yates,Nominated for 1 Oscar. Another 7 wins & 27 nominations.,Warner Bros. Pictures,7.5,247571,15-Jul-09,1552624,3.8,77,301.9,PG,78,4432
The Tale of Despereaux,Adventure- Animation- Comedy,Matthew Broderick- Dustin Hoffman- Emma Watson- Tracey Ullman,Sam Fell- Robert Stevenhagen,1 win & 8 nominations.,Universal Pictures,6.1,28135,19-Dec-08,163198,3.1,45,50.8,G,53,212642
Street Kings,Action- Crime- Drama,Keanu Reeves- Forest Whitaker- Hugh Laurie- Chris Evans,David Ayer,1 nomination.,20th Century Fox/Regency Films,6.8,85755,11-Apr-08,202987,3.4,58,26.4,R,55,10611
The Curious Case of Benjamin Button,Drama- Fantasy- Romance,Cate Blanchett- Brad Pitt- Julia Ormond- Faune A. Chambers,David Fincher,Won 3 Oscars. Another 65 wins & 106 nominations.,Paramount,7.8,359429,25-Dec-08,686975,3.7,80,127.5,PG-13,70,212642
Get Smart,Action- Comedy- Thriller,Steve Carell- Anne Hathaway- Dwayne Johnson- Alan Arkin,Peter Segal,2 wins & 6 nominations.,Warner Bros. Pictures,6.5,146777,20-Jun-08,449719,3.6,67,130.2,PG-13,54,22541
Superhero Movie,Action- Comedy- Sci-Fi,Drake Bell- Sara Paxton- Christopher McDonald- Leslie Nielsen,Craig Mazin,1 win.,The Weinstein Company/Dimension Films,4.5,44204,28-Mar-08,156567,2.8,32,25.8,PG-13,33,82141
Dinner for Schmucks,Comedy,Steve Carell- Paul Rudd- Zach Galifianakis- Jemaine Clement,Jay Roach,2 nominations.,Paramount Studios,5.9,68125,30-Jul-10,118611,3,43,73,PG-13,56,16356
The A-Team,Action- Adventure- Comedy,Liam Neeson- Bradley Cooper- Jessica Biel- Quinton 'Rampage' Jackson,Joe Carnahan,1 win & 3 nominations.,20th Century Fox,6.8,178202,11-Jun-10,197865,3.6,66,77.2,PG-13,47,50103
The Women,Comedy- Drama,Meg Ryan- Annette Bening- Eva Mendes- Debra Messing,Diane English,3 wins & 2 nominations.,Picturehouse Entertainment,4.9,14486,12-Sep-08,61891,3,37,26.8,PG-13,27,60872
Role Models,Comedy,Seann William Scott- Paul Rudd- Christopher Mintz-Plasse- Bobb'e J. Thompson,David Wain,4 nominations.,Universal Pictures,6.9,176599,7-Nov-08,277122,3.6,74,67.3,R,61,15633
The Possession,Horror- Thriller,Jeffrey Dean Morgan- Kyra Sedgwick- Natasha Calis- Madison Davenport,Ole Bornedal,1 win & 4 nominations.,Lionsgate Films,5.9,38857,31-Aug-12,60485,3.3,49,49.1,PG-13,45,47016
Fantastic Mr. Fox,Animation- Adventure- Comedy,George Clooney- Meryl Streep- Jason Schwartzman- Bill Murray,Wes Anderson,Nominated for 2 Oscars. Another 44 wins & 32 nominations.,20th Century Fox,7.8,108343,25-Nov-09,147934,3.9,84,20.9,PG,83,4255
